year,occupants,fatalities,chance
1919,10.5000000000000000,7.5000000000000000,0.50000000000000000000
1920,6.0000000000000000,1.00000000000000000000,0.00000000000000000000
1921,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000
1922,8.0000000000000000,8.0000000000000000,1.00000000000000000000
1923,9.2500000000000000,2.7500000000000000,0.25000000000000000000
1924,8.5000000000000000,0.00000000000000000000,0.00000000000000000000
1925,3.5000000000000000,1.5000000000000000,0.00000000000000000000
1926,11.3333333333333333,3.6666666666666667,0.33333333333333333333
1927,6.5000000000000000,1.5000000000000000,0.50000000000000000000
1928,5.2500000000000000,2.0833333333333333,0.41666666666666666667
1929,6.4666666666666667,3.9333333333333333,0.33333333333333333333
1930,7.4166666666666667,3.9166666666666667,0.25000000000000000000
1931,5.6363636363636364,0.81818181818181818182,0.18181818181818181818
1932,4.4285714285714286,2.2857142857142857,0.57142857142857142857
1933,7.8000000000000000,4.8000000000000000,0.40000000000000000000
1934,7.9285714285714286,5.3571428571428571,0.64285714285714285714
1935,9.7916666666666667,5.3333333333333333,0.37500000000000000000
1936,10.7407407407407407,5.4074074074074074,0.25925925925925925926
1937,9.2400000000000000,7.1600000000000000,0.68000000000000000000
1938,9.9607843137254902,7.2156862745098039,0.58823529411764705882
1939,9.5000000000000000,4.8611111111111111,0.41666666666666666667
1940,10.0869565217391304,6.4130434782608696,0.47826086956521739130
1941,12.1718750000000000,6.5312500000000000,0.32812500000000000000
1942,10.5294117647058824,7.3308823529411765,0.50735294117647058824
1943,9.4397163120567376,6.9680851063829787,0.58156028368794326241
1944,8.4799154334038055,6.0380549682875264,0.58562367864693446089
1945,10.8267973856209150,8.3496732026143791,0.64705882352941176471
1946,14.9314285714285714,8.1771428571428571,0.43428571428571428571
1947,14.6069364161849711,8.9075144508670520,0.39884393063583815029
1948,13.9543147208121827,7.7664974619289340,0.44162436548223350254
1949,15.3678160919540230,8.1839080459770115,0.39655172413793103448
1950,15.8258426966292135,9.3258426966292135,0.37078651685393258427
1951,14.2694300518134715,7.5906735751295337,0.46632124352331606218
1952,15.7530120481927711,8.4337349397590361,0.42168674698795180723
1953,15.9461077844311377,8.6047904191616766,0.43113772455089820359
1954,14.8101265822784810,7.6708860759493671,0.39873417721518987342
1955,14.8104575163398693,7.3202614379084967,0.41830065359477124183
1956,17.1716417910447761,9.2686567164179104,0.38805970149253731343
1957,16.4534883720930233,8.3081395348837209,0.44186046511627906977
1958,16.0952380952380952,9.8392857142857143,0.46428571428571428571
1959,18.0516129032258065,8.3741935483870968,0.43225806451612903226
1960,24.5146198830409357,10.6666666666666667,0.41520467836257309942
1961,24.9294871794871795,11.0641025641025641,0.44230769230769230769
1962,21.5301204819277108,13.6626506024096386,0.54819277108433734940
1963,21.0661157024793388,12.3305785123966942,0.51239669421487603306
1964,22.1372549019607843,10.4836601307189542,0.47712418300653594771
1965,21.8830409356725146,11.5555555555555556,0.47953216374269005848
1966,18.9942857142857143,10.7885714285714286,0.51428571428571428571
1967,20.2994652406417112,9.9893048128342246,0.39037433155080213904
1968,27.2403846153846154,10.2211538461538462,0.41826923076923076923
1969,32.6175438596491228,7.8210526315789474,0.32982456140350877193
1970,33.0500000000000000,8.3166666666666667,0.30833333333333333333
1971,31.4838709677419355,10.0698924731182796,0.33333333333333333333
1972,33.4556451612903226,11.9072580645161290,0.36290322580645161290
1973,32.0710659898477157,13.2081218274111675,0.40609137055837563452
1974,32.6107784431137725,14.5928143712574850,0.44311377245508982036
1975,33.7826086956521739,9.7267080745341615,0.35403726708074534161
1976,33.9166666666666667,13.3461538461538462,0.46153846153846153846
1977,28.7210526315789474,11.5578947368421053,0.37368421052631578947
1978,33.7932960893854749,9.0614525139664804,0.37430167597765363128
1979,34.1292134831460674,11.4438202247191011,0.35393258426966292135
1980,40.2988505747126437,10.6896551724137931,0.37356321839080459770
1981,32.7443609022556391,8.9398496240601504,0.39097744360902255639
1982,40.9928571428571429,11.7500000000000000,0.38571428571428571429
1983,49.4144736842105263,11.0131578947368421,0.30263157894736842105
1984,42.5347222222222222,6.4305555555555556,0.34722222222222222222
1985,43.8062500000000000,16.9687500000000000,0.40625000000000000000
1986,35.3591549295774648,9.9718309859154930,0.36619718309859154930
1987,22.5989010989010989,9.7142857142857143,0.36813186813186813187
1988,40.7844311377245509,12.4251497005988024,0.40718562874251497006
1989,36.5136612021857923,12.0983606557377049,0.42622950819672131148
1990,33.1871657754010695,6.0962566844919786,0.27807486631016042781
1991,30.3202247191011236,10.2359550561797753,0.42134831460674157303
1992,34.6000000000000000,10.5631578947368421,0.34736842105263157895
1993,43.3209302325581395,7.0883720930232558,0.26511627906976744186
1994,35.6300000000000000,8.5850000000000000,0.29000000000000000000
1995,35.4181818181818182,7.3681818181818182,0.25909090909090909091
1996,34.6532663316582915,11.6231155778894472,0.31658291457286432161
1997,36.2474747474747475,7.8131313131313131,0.27272727272727272727
1998,35.2684210526315789,8.1736842105263158,0.28947368421052631579
1999,33.6130653266331658,4.7537688442211055,0.29648241206030150754
2000,46.8268156424581006,8.0000000000000000,0.27932960893854748603
2001,32.5815217391304348,7.4076086956521739,0.29347826086956521739
2002,33.5291005291005291,6.6984126984126984,0.24338624338624338624
2003,28.5083798882681564,6.1787709497206704,0.22905027932960893855
2004,21.6763005780346821,3.8959537572254335,0.23699421965317919075
2005,32.4772727272727273,7.3295454545454545,0.27840909090909090909
2006,25.8409090909090909,6.7443181818181818,0.23863636363636363636
2007,36.6129032258064516,4.5483870967741935,0.18279569892473118280
2008,36.5657142857142857,4.2342857142857143,0.26285714285714285714
2009,37.3050847457627119,5.7062146892655367,0.23163841807909604520
2010,35.3333333333333333,6.9200000000000000,0.23333333333333333333
2011,32.6824324324324324,4.7229729729729730,0.19594594594594594595
2012,30.0437956204379562,4.6715328467153285,0.22627737226277372263
2013,39.6055555555555556,1.9722222222222222,0.19444444444444444444
2014,43.1385542168674699,7.3132530120481928,0.21084337349397590361
2015,34.2603550295857988,4.7988165680473373,0.17159763313609467456
2016,26.9390243902439024,3.4512195121951220,0.18902439024390243902
2017,33.0719424460431655,2.0143884892086331,0.20863309352517985612
2018,39.4701986754966887,6.3642384105960265,0.19205298013245033113
2019,29.3098591549295775,4.2957746478873239,0.22535211267605633803