Date,Precipitation
2009-06-30,0
2009-06-29,0
2009-06-28,0
2009-06-27,1.2
2009-06-26,0
2009-06-25,2
2009-06-24,7.6
2009-06-23,0
2009-06-22,0
2009-06-21,0
2009-06-20,0
2009-06-19,0
2009-06-18,0
2009-06-17,0
2009-06-16,0
2009-06-15,0
2009-06-14,0
2009-06-13,0
2009-06-12,0
2009-06-11,0
2009-06-10,0
2009-06-09,0
2009-06-08,0
2009-06-07,0
2009-06-06,0
2009-06-05,0
2009-06-04,0
2009-06-03,0
2009-06-02,0
2009-06-01,0
2009-05-31,0
2009-05-30,0
2009-05-29,0
2009-05-28,0
2009-05-27,0
2009-05-26,12.8
2009-05-25,0
2009-05-24,0
2009-05-23,0
2009-05-22,0
2009-05-21,0
2009-05-20,0
2009-05-19,0.2
2009-05-18,5.6
2009-05-17,0
2009-05-16,0
2009-05-15,0
2009-05-14,3
2009-05-13,9.2
2009-05-12,3.6
2009-05-11,11.2
2009-05-10,0.8
2009-05-09,0
2009-05-08,0
2009-05-07,0.4
2009-05-06,8.6
2009-05-05,2.4
2009-05-04,8.2
2009-05-03,0
2009-05-02,5.8
2009-05-01,0
2010-06-30,0
2010-06-29,0
2010-06-28,0.4
2010-06-27,0.6
2010-06-26,0
2010-06-25,0
2010-06-24,0
2010-06-23,0
2010-06-22,0
2010-06-21,0
2010-06-20,0
2010-06-19,0
2010-06-18,0
2010-06-17,0
2010-06-16,0
2010-06-15,11
2010-06-14,0.2
2010-06-13,0
2010-06-12,0
2010-06-11,0.2
2010-06-10,2.8
2010-06-09,10.8
2010-06-08,0
2010-06-07,0
2010-06-06,3.4
2010-06-05,0
2010-06-04,1.6
2010-06-03,0
2010-06-02,14
2010-06-01,3.4
2010-05-31,7.6
2010-05-30,8.4
2010-05-29,4.8
2010-05-28,6.8
2010-05-27,0.4
2010-05-26,6.2
2010-05-25,1.6
2010-05-24,0
2010-05-23,0
2010-05-22,1
2010-05-21,0.2
2010-05-20,0.8
2010-05-19,2.2
2010-05-18,1.8
2010-05-17,0
2010-05-16,0
2010-05-15,0
2010-05-14,0
2010-05-13,0
2010-05-12,0
2010-05-11,0
2010-05-10,0
2010-05-09,0
2010-05-08,0
2010-05-07,0
2010-05-06,0
2010-05-05,0
2010-05-04,0
2010-05-03,0.8
2010-05-02,11
2010-05-01,0.6
2011-06-30,0
2011-06-29,0
2011-06-28,0
2011-06-27,0
2011-06-26,0
2011-06-25,3.6
2011-06-24,7.4
2011-06-23,0.6
2011-06-22,0
2011-06-21,0
2011-06-20,0
2011-06-19,0.4
2011-06-18,11.2
2011-06-17,0
2011-06-16,0
2011-06-15,2.2
2011-06-14,0
2011-06-13,0.2
2011-06-12,0
2011-06-11,0
2011-06-10,0
2011-06-09,0
2011-06-08,0
2011-06-07,0
2011-06-06,0
2011-06-05,0
2011-06-04,0
2011-06-03,0
2011-06-02,15.4
2011-06-01,0
2011-05-31,1.2
2011-05-30,0
2011-05-29,0
2011-05-28,0
2011-05-27,1.8
2011-05-26,1.8
2011-05-25,11.2
2011-05-24,0
2011-05-23,0
2011-05-22,0.4
2011-05-21,1.8
2011-05-20,0
2011-05-19,0
2011-05-18,0
2011-05-17,0
2011-05-16,0
2011-05-15,8.4
2011-05-14,2.8
2011-05-13,0
2011-05-12,0.2
2011-05-11,22.6
2011-05-10,0.4
2011-05-09,0
2011-05-08,0
2011-05-07,13.4
2011-05-06,6
2011-05-05,4.8
2011-05-04,0
2011-05-03,0
2011-05-02,17
2011-05-01,0
2012-06-30,7.4
2012-06-29,0.8
2012-06-28,1.8
2012-06-27,0
2012-06-26,0
2012-06-25,0
2012-06-24,0
2012-06-23,14.6
2012-06-22,10.8
2012-06-21,0
2012-06-20,0
2012-06-19,0
2012-06-18,2.2
2012-06-17,1.8
2012-06-16,11.2
2012-06-15,0
2012-06-14,0
2012-06-13,1.6
2012-06-12,2.6
2012-06-11,0
2012-06-10,0
2012-06-09,0
2012-06-08,4.2
2012-06-07,11.2
2012-06-06,0.2
2012-06-05,0.6
2012-06-04,0.4
2012-06-03,0.2
2012-06-02,0
2012-06-01,5.2
2012-05-31,9
2012-05-30,5.8
2012-05-29,0
2012-05-28,1.4
2012-05-27,0
2012-05-26,0
2012-05-25,0
2012-05-24,0
2012-05-23,0.2
2012-05-22,0
2012-05-21,12.8
2012-05-20,4.4
2012-05-19,0
2012-05-18,0
2012-05-17,0
2012-05-16,0
2012-05-15,0
2012-05-14,0
2012-05-13,0
2012-05-12,0
2012-05-11,0
2012-05-10,0
2012-05-09,0
2012-05-08,0
2012-05-07,0
2012-05-06,0
2012-05-05,0
2012-05-04,3.4
2012-05-03,5.4
2012-05-02,0
2012-05-01,0.2
2013-06-30,0
2013-06-29,0
2013-06-28,
2013-06-27,5.6
2013-06-26,3.8
2013-06-25,3.2
2013-06-24,14.6
2013-06-23,
2013-06-22,0
2013-06-21,0.4
2013-06-20,13.4
2013-06-19,
2013-06-18,0.4
2013-06-17,0
2013-06-16,0
2013-06-15,0
2013-06-14,0.4
2013-06-13,0
2013-06-12,2
2013-06-11,0
2013-06-10,0
2013-06-09,0.6
2013-06-08,0
2013-06-07,0
2013-06-06,0
2013-06-05,0
2013-06-04,0
2013-06-03,0
2013-06-02,0
2013-06-01,0.2
2013-05-31,0
2013-05-30,0.2
2013-05-29,4.2
2013-05-28,21
2013-05-27,7.6
2013-05-26,0.6
2013-05-25,0.2
2013-05-24,0
2013-05-23,5.2
2013-05-22,0.6
2013-05-21,3.2
2013-05-20,0
2013-05-19,0
2013-05-18,0.4
2013-05-17,1.2
2013-05-16,1.8
2013-05-15,0.6
2013-05-14,0
2013-05-13,2.2
2013-05-12,11.8
2013-05-11,5.2
2013-05-10,0
2013-05-09,0
2013-05-08,0
2013-05-07,0
2013-05-06,0
2013-05-05,0
2013-05-04,0
2013-05-03,0
2013-05-02,0
2013-05-01,0
2014-06-30,0
2014-06-29,0
2014-06-28,6.8
2014-06-27,5.4
2014-06-26,0
2014-06-25,0
2014-06-24,0
2014-06-23,1.2
2014-06-22,0
2014-06-21,0
2014-06-20,0
2014-06-19,5
2014-06-18,0
2014-06-17,0
2014-06-16,11.2
2014-06-15,0.2
2014-06-14,3.8
2014-06-13,0.6
2014-06-12,0
2014-06-11,0
2014-06-10,2.6
2014-06-09,0
2014-06-08,0
2014-06-07,0
2014-06-06,0
2014-06-05,0
2014-06-04,0
2014-06-03,0
2014-06-02,0
2014-06-01,0
2014-05-31,0
2014-05-30,0
2014-05-29,
2014-05-28,2.8
2014-05-27,0
2014-05-26,3.8
2014-05-25,2
2014-05-24,0
2014-05-23,15
2014-05-22,0.2
2014-05-21,0
2014-05-20,0
2014-05-19,0
2014-05-18,0
2014-05-17,0
2014-05-16,0
2014-05-15,0
2014-05-14,0
2014-05-13,0
2014-05-12,0
2014-05-11,0
2014-05-10,0.2
2014-05-09,1.8
2014-05-08,17.6
2014-05-07,0
2014-05-06,0
2014-05-05,6.2
2014-05-04,18.2
2014-05-03,1.6
2014-05-02,2
2014-05-01,0
2015-06-30,0
2015-06-29,0
2015-06-28,0
2015-06-27,0
2015-06-26,0
2015-06-25,0
2015-06-24,0
2015-06-23,0
2015-06-22,0
2015-06-21,0
2015-06-20,0
2015-06-19,0
2015-06-18,4.2
2015-06-17,0
2015-06-16,0
2015-06-15,
2015-06-14,0
2015-06-13,0
2015-06-12,0
2015-06-11,0
2015-06-10,0
2015-06-09,0
2015-06-08,0
2015-06-07,0
2015-06-06,0
2015-06-05,0
2015-06-04,0
2015-06-03,0
2015-06-02,6.6
2015-06-01,0.2
2015-05-31,0
2015-05-30,0
2015-05-29,0
2015-05-28,0
2015-05-27,0
2015-05-26,0
2015-05-25,0
2015-05-24,0
2015-05-23,0
2015-05-22,0
2015-05-21,0
2015-05-20,0
2015-05-19,0
2015-05-18,0.2
2015-05-17,0
2015-05-16,0
2015-05-15,0
2015-05-14,1.4
2015-05-13,0
2015-05-12,0
2015-05-11,0.8
2015-05-10,0
2015-05-09,0
2015-05-08,0
2015-05-07,0
2015-05-06,0
2015-05-05,
2015-05-04,1.8
2015-05-03,0
2015-05-02,0
2015-05-01,0
2016-06-30,0
2016-06-29,0
2016-06-28,0
2016-06-27,0
2016-06-26,0
2016-06-25,0.2
2016-06-24,0
2016-06-23,12.6
2016-06-22,1.4
2016-06-21,0
2016-06-20,0
2016-06-19,0.2
2016-06-18,13.6
2016-06-17,0
2016-06-16,0
2016-06-15,2.4
2016-06-14,5.8
2016-06-13,2.4
2016-06-12,0
2016-06-11,8
2016-06-10,0.6
2016-06-09,0
2016-06-08,0
2016-06-07,0
2016-06-06,
2016-06-05,0
2016-06-04,0
2016-06-03,0
2016-06-02,2.4
2016-06-01,8.6
2016-05-31,0
2016-05-30,0
2016-05-29,0
2016-05-28,24.2
2016-05-27,9.8
2016-05-26,9.2
2016-05-25,0
2016-05-24,0
2016-05-23,0.2
2016-05-22,
2016-05-21,0
2016-05-20,1.2
2016-05-19,5.6
2016-05-18,0
2016-05-17,0
2016-05-16,0
2016-05-15,0
2016-05-14,0
2016-05-13,0
2016-05-12,0
2016-05-11,0
2016-05-10,0
2016-05-09,0
2016-05-08,0
2016-05-07,0
2016-05-06,0
2016-05-05,0
2016-05-04,1.4
2016-05-03,0
2016-05-02,0
2016-05-01,0
2017-06-30,0
2017-06-29,0
2017-06-28,0
2017-06-27,0
2017-06-26,0
2017-06-25,0
2017-06-24,0
2017-06-23,0
2017-06-22,0
2017-06-21,0
2017-06-20,0.2
2017-06-19,0
2017-06-18,3.8
2017-06-17,0.4
2017-06-16,0
2017-06-15,15.2
2017-06-14,0
2017-06-13,0
2017-06-12,0
2017-06-11,0
2017-06-10,0
2017-06-09,0
2017-06-08,24.4
2017-06-07,0
2017-06-06,0
2017-06-05,0
2017-06-04,0
2017-06-03,0
2017-06-02,1.2
2017-06-01,1.2
2017-05-31,1.2
2017-05-30,8.2
2017-05-29,0
2017-05-28,0
2017-05-27,0
2017-05-26,0
2017-05-25,0
2017-05-24,0
2017-05-23,0
2017-05-22,0
2017-05-21,0
2017-05-20,0
2017-05-19,0
2017-05-18,0
2017-05-17,0
2017-05-16,14.8
2017-05-15,17.2
2017-05-14,2.8
2017-05-13,0.2
2017-05-12,6.6
2017-05-11,19.8
2017-05-10,0.2
2017-05-09,0
2017-05-08,0
2017-05-07,0
2017-05-06,0
2017-05-05,0.8
2017-05-04,0.2
2017-05-03,28.2
2017-05-02,0.6
2017-05-01,1.4
2018-06-30,1.4
2018-06-29,2
2018-06-28,0
2018-06-27,0
2018-06-26,0
2018-06-25,2.6
2018-06-24,8
2018-06-23,0
2018-06-22,0
2018-06-21,0
2018-06-20,0
2018-06-19,0
2018-06-18,0
2018-06-17,0
2018-06-16,0
2018-06-15,0
2018-06-14,0
2018-06-13,10.8
2018-06-12,0.6
2018-06-11,0
2018-06-10,0
2018-06-09,0.2
2018-06-08,12.2
2018-06-07,0
2018-06-06,0
2018-06-05,0.2
2018-06-04,0
2018-06-03,0.4
2018-06-02,0
2018-06-01,0.4
2018-05-31,0
2018-05-30,0
2018-05-29,0
2018-05-28,0
2018-05-27,0
2018-05-26,0
2018-05-25,0
2018-05-24,0
2018-05-23,0
2018-05-22,0
2018-05-21,0
2018-05-20,0
2018-05-19,0.2
2018-05-18,0
2018-05-17,0
2018-05-16,0
2018-05-15,0
2018-05-14,0
2018-05-13,0
2018-05-12,0
2018-05-11,0
2018-05-10,0
2018-05-09,1
2018-05-08,0
2018-05-07,0
2018-05-06,0.4
2018-05-05,0
2018-05-04,0
2018-05-03,0
2018-05-02,0
2018-05-01,0
2019-06-30,0
2019-06-29,0
2019-06-28,0.6
2019-06-27,15.4
2019-06-26,0
2019-06-25,0
2019-06-24,0.6
2019-06-23,0
2019-06-22,0
2019-06-21,0
2019-06-20,0.2
2019-06-19,0
2019-06-18,0
2019-06-17,0
2019-06-16,0
2019-06-15,0
2019-06-14,0
2019-06-13,0
2019-06-12,0
2019-06-11,0
2019-06-10,0
2019-06-09,0
2019-06-08,0
2019-06-07,8.8
2019-06-06,0
2019-06-05,0.6
2019-06-04,0
2019-06-03,0
2019-06-02,0
2019-06-01,0
2019-05-31,0
2019-05-30,0
2019-05-29,0
2019-05-28,0
2019-05-27,0
2019-05-26,0
2019-05-25,8.6
2019-05-24,2
2019-05-23,0
2019-05-22,0
2019-05-21,1.6
2019-05-20,7
2019-05-19,0
2019-05-18,0
2019-05-17,0
2019-05-16,0.2
2019-05-15,1.6
2019-05-14,9.4
2019-05-13,0
2019-05-12,0
2019-05-11,0
2019-05-10,0
2019-05-09,0
2019-05-08,0
2019-05-07,0
2019-05-06,0
2019-05-05,0
2019-05-04,0
2019-05-03,0
2019-05-02,0
2019-05-01,0
2020-06-30,
2020-06-29,0
2020-06-28,0.4
2020-06-27,0.4
2020-06-26,0.4
2020-06-25,0
2020-06-24,4.2
2020-06-23,0.8
2020-06-22,0
2020-06-21,0
2020-06-20,5.2
2020-06-19,0.8
2020-06-18,0
2020-06-17,0
2020-06-16,0
2020-06-15,5.4
2020-06-14,0.8
2020-06-13,1
2020-06-12,13.6
2020-06-11,0
2020-06-10,1.8
2020-06-09,7.8
2020-06-08,0
2020-06-07,0
2020-06-06,5.4
2020-06-05,0
2020-06-04,0.2
2020-06-03,0
2020-06-02,4.4
2020-06-01,0
2020-05-31,0
2020-05-30,5
2020-05-29,0
2020-05-28,0
2020-05-27,0
2020-05-26,0.4
2020-05-25,9.2
2020-05-24,0.8
2020-05-23,2
2020-05-22,0
2020-05-21,0.2
2020-05-20,0
2020-05-19,0
2020-05-18,0
2020-05-17,5.4
2020-05-16,3.4
2020-05-15,0
2020-05-14,0.6
2020-05-13,1.2
2020-05-12,15.4
2020-05-11,0.4
2020-05-10,0
2020-05-09,0
2020-05-08,0
2020-05-07,0
2020-05-06,1.8
2020-05-05,1.2
2020-05-04,0.6
2020-05-03,0.2
2020-05-02,6.8
2020-05-01,1.4